YIL036W    01.03.16 10.01.03 11.02.03 
YLR332W    10.03.01 30.05.01 30.05.02 34.11.03 41.01.01 
YGR081C    01.03.16 
YPL096C-A  18.02.01 30.01.05 
YCL005W-A  16.19.03 20.01.01 20.03.22 34.01.01 
YBR058C-A  18.02.01 
YPL273W    01.01.06 01.01.09 
YGR248W    11.04.02 
YOL058W    01.01.03 01.01.05 01.01.06 
YKR085C    12.01.01 
YHL007C    14.07.03 34.11.03 43.01.03 
YJL110C    01.02.07 11.02.03 
YOR136W    01.01.03 01.05.02 16.21.07 
YOL086W-A  # 
YOR202W    01.01.09 
YJL074C    10.03.01 10.03.02 10.03.04 16.19.03 43.01.03 
YOR127W    18.02.01 30.01.05 34.11.03 42.04.03 43.01.03 
YPR188C    10.03.03 40.01.03 42.04.03 43.01.03 
YNL054W    18.02.01 
YBR153W    01.07.01 
YGL018C    02.13.03 
YGR142W    20.01.10 34.01.01 
YPL013C    12.01.01 
YKL186C    20.01.21 20.09.01 
YDR206W    10.01.03 32.01.09 42.10.03 
YBL037W    20.09.13 20.09.18 
YPR042C    01.03.16 16.03.03 
YGR002C    10.01.09 14.07.04 16.03.01 42.10.03 
YBR085W    02.13.01 20.01.17 20.03.02 20.09.04 
YMR271C    01.03.04 
YBR109C    10.03.01 10.03.04 16.17.01 20.09.18 34.11.03 40.01.03 43.01.03 
YBL078C    14.07.11 14.13.04 20.09.13 20.09.14 
YLL001W    # 
YLR013W    01.02.07 11.02.03 
YDR381W    16.03.03 20.01.21 
YMR153W    20.01.10 20.01.21 20.09.01 42.10.05 
YNL323W    11.02.03 30.05.01 
YER115C    43.01.03 
YGR254W    01.05.02 01.20.15 
YPR067W    20.01.01 34.01.01 
YDR441C    01.03.01 
YIL145C    01.07.01 
YMR164C    01.05.03 11.02.03 43.01.03 
YPR102C    12.01.01 
YLR141W    11.02.01 11.02.03 16.03.03 
YJL030W    10.03.01 
YLR168C    # 
YJR096W    01.05.02 
YOR172W    11.02.03 20.01.27 32.07.05 
YGL059W    14.07.03 
YHR015W    11.04.03 16.03.03 20.01.21 
YGL037C    01.03.04 10.01.09 
YDR359C    10.01.09 
YOR259C    11.02.03 14.07.11 14.13.01 16.19.03 
YLR073C    # 
YBL041W    14.07.11 14.13.01 
YNL009W    01.06.05 16.21.07 
YGL030W    11.04.01 11.04.03 12.01.01 
YJR076C    01.05.25 10.03.01 10.03.03 34.11.03 41.01.01 43.01.03 
YCR105W    # 
YKL045W    10.01.03 10.01.05 32.01.09 
YHR162W    # 
YLR262C-A  # 
YNL070W    20.01.10 20.09.04 
YJR139C    01.01.06 01.01.09 
YGR217W    20.01.01 20.03.01 34.01.01 34.11.03 
YPL003W    14.07.07 18.02.01 
YLR017W    01.01.03 01.03.01 
YDL092W    20.01.10 
YJL044C    18.02.01 20.01.10 20.09.16 
YOR096W    12.01.01 
YLR404W    # 
YDL169C    # 
YNL206C    10.01.05 
YJL101C    01.07.01 01.20.37 32.05.01 
YDL136W    12.01.01 
YLR375W    11.04.02 20.01.07 
YDL216C    14.07.07 14.13.01 34.11.03 
YIL153W    10.01.05 10.03.05 18.02.01 32.01.03 
YGR098C    10.03.01 14.13.01 
YER010C    # 
YFR028C    10.01.03 10.03.01 14.07.03 
YBR068C    20.01.07 20.09.18 
YDL212W    20.01.07 20.09.07 32.01.07 
YHR008C    32.01.01 32.07.07 
YBL017C    20.09.07 20.09.13 
YGL011C    14.07.11 14.13.01 
YGL238W    20.01.10 20.09.01 
YBR111W-A  10.01.09 11.02.03 20.01.21 20.09.01 
